               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.021245,            0.022058,           0.0040716,              0.9943,                   1,               0.995,             0.85572,             0.01308,           0.0097204,           0.0017126,            0.007624,            0.007624,            0.007624
                  38,            0.021047,            0.022146,            0.004032,             0.99239,             0.99828,               0.995,             0.84173,            0.013515,           0.0097566,           0.0017824,            0.007558,            0.007558,            0.007558
                  39,            0.019549,             0.02069,           0.0038756,             0.99357,                   1,               0.995,              0.8803,            0.011733,           0.0097288,           0.0019123,            0.007492,            0.007492,            0.007492
                  40,            0.020239,            0.021901,           0.0038179,             0.99252,             0.99399,               0.995,             0.84018,            0.012581,           0.0097338,           0.0020424,            0.007426,            0.007426,            0.007426
                  41,            0.020543,            0.022114,           0.0031063,             0.99025,                   1,               0.995,              0.8647,            0.014003,           0.0096924,           0.0015925,             0.00736,             0.00736,             0.00736
                  42,            0.019922,            0.021155,           0.0032655,             0.99506,                   1,               0.995,             0.85694,            0.011365,           0.0090889,           0.0015624,            0.007294,            0.007294,            0.007294
                  43,            0.019343,            0.022096,           0.0039587,             0.99415,                   1,               0.995,             0.85868,            0.010985,             0.00915,           0.0017493,            0.007228,            0.007228,            0.007228
                  44,            0.019473,            0.021433,            0.003681,             0.99339,             0.99926,               0.995,             0.86779,            0.010734,           0.0091261,           0.0017866,            0.007162,            0.007162,            0.007162
                  45,            0.019451,            0.020643,           0.0032624,             0.99486,             0.99978,               0.995,             0.86764,            0.010729,           0.0090407,           0.0016433,            0.007096,            0.007096,            0.007096
                  46,            0.019062,            0.020589,           0.0030858,             0.99417,              0.9988,               0.995,             0.84283,            0.010968,           0.0092208,           0.0015888,             0.00703,             0.00703,             0.00703
                  47,            0.019068,            0.020495,           0.0038185,              0.9949,                   1,               0.995,             0.85842,            0.011124,           0.0094125,           0.0014783,            0.006964,            0.006964,            0.006964
                  48,            0.018993,            0.021513,           0.0032276,             0.99553,                   1,               0.995,             0.85582,            0.011538,           0.0092746,           0.0014736,            0.006898,            0.006898,            0.006898
                  49,            0.019212,            0.020783,           0.0037223,             0.99266,             0.99826,               0.995,             0.85252,            0.013036,           0.0099469,           0.0016593,            0.006832,            0.006832,            0.006832
                  50,             0.01915,            0.021635,           0.0035177,             0.99308,             0.98068,               0.995,             0.86866,            0.012628,           0.0098093,           0.0019137,            0.006766,            0.006766,            0.006766
                  51,            0.018467,            0.020794,           0.0032843,             0.99545,                   1,               0.995,             0.87607,            0.010628,           0.0094234,           0.0014341,              0.0067,              0.0067,              0.0067
                  52,            0.018039,            0.021045,           0.0029478,             0.99533,             0.99982,               0.995,               0.867,            0.011819,           0.0095304,           0.0014868,            0.006634,            0.006634,            0.006634
                  53,            0.018536,            0.020586,           0.0033728,             0.99109,             0.98187,               0.995,              0.8815,            0.011256,           0.0092709,           0.0020023,            0.006568,            0.006568,            0.006568
                  54,            0.017574,            0.019478,           0.0028714,             0.99427,             0.99631,               0.995,             0.88551,           0.0091581,           0.0087088,           0.0016975,            0.006502,            0.006502,            0.006502
                  55,            0.017773,            0.020562,           0.0027688,             0.99199,                   1,               0.995,             0.87165,            0.010029,           0.0090936,           0.0014356,            0.006436,            0.006436,            0.006436
                  56,            0.017466,            0.020534,           0.0030933,             0.99309,                   1,               0.995,             0.88135,            0.010843,           0.0089985,           0.0014819,             0.00637,             0.00637,             0.00637
                  57,            0.017566,            0.020994,           0.0032436,              0.9944,             0.99595,               0.995,             0.87655,            0.010669,           0.0091523,           0.0017275,            0.006304,            0.006304,            0.006304
                  58,            0.018062,            0.019879,           0.0031597,             0.98384,             0.97823,             0.99476,              0.8772,            0.010471,           0.0090024,           0.0022465,            0.006238,            0.006238,            0.006238
                  59,             0.01705,            0.020059,           0.0030048,             0.99279,                   1,               0.995,             0.87848,           0.0094469,           0.0091438,           0.0012734,            0.006172,            0.006172,            0.006172
                  60,            0.017397,            0.019935,           0.0030903,             0.99162,             0.99834,               0.995,             0.86212,            0.010831,           0.0094241,           0.0013732,            0.006106,            0.006106,            0.006106
                  61,            0.016888,            0.020088,           0.0027525,             0.99143,             0.99851,               0.995,             0.87606,           0.0094935,           0.0090224,           0.0012219,             0.00604,             0.00604,             0.00604
                  62,            0.017101,            0.019977,           0.0028966,             0.99234,             0.99448,               0.995,             0.88522,           0.0093358,           0.0086114,           0.0014606,            0.005974,            0.005974,            0.005974
                  63,            0.016791,            0.019734,           0.0026603,             0.99216,             0.99641,               0.995,             0.88156,           0.0095836,           0.0086113,           0.0014585,            0.005908,            0.005908,            0.005908
                  64,            0.016884,            0.020535,           0.0028376,             0.99422,             0.99812,               0.995,             0.87904,            0.010484,           0.0089923,           0.0012956,            0.005842,            0.005842,            0.005842
                  65,            0.016646,            0.020021,            0.002532,             0.99172,             0.99331,               0.995,             0.87924,           0.0092638,           0.0090038,            0.001364,            0.005776,            0.005776,            0.005776
                  66,            0.016377,            0.020148,           0.0026684,             0.99324,                   1,               0.995,              0.8737,           0.0088316,           0.0084076,           0.0010985,             0.00571,             0.00571,             0.00571
                  67,            0.016437,            0.018988,           0.0026338,             0.99382,                   1,               0.995,             0.89278,           0.0088342,           0.0088093,           0.0011899,            0.005644,            0.005644,            0.005644
                  68,            0.015919,            0.019726,           0.0027051,             0.98715,             0.99736,               0.995,             0.88844,           0.0094186,           0.0085034,           0.0012144,            0.005578,            0.005578,            0.005578
                  69,            0.016405,            0.020113,           0.0026706,             0.99264,             0.99779,               0.995,             0.87754,            0.010174,            0.008813,          0.00099626,            0.005512,            0.005512,            0.005512
                  70,             0.01637,            0.019378,           0.0028546,             0.99327,             0.99397,               0.995,             0.88532,           0.0090368,            0.009023,            0.001407,            0.005446,            0.005446,            0.005446
                  71,            0.015362,             0.01911,           0.0024522,             0.99431,             0.99929,               0.995,             0.88473,              0.0088,           0.0084167,           0.0010849,             0.00538,             0.00538,             0.00538
                  72,              0.0154,            0.019356,           0.0024542,             0.99471,             0.99784,               0.995,             0.89765,           0.0092902,           0.0087426,           0.0012132,            0.005314,            0.005314,            0.005314
                  73,            0.015968,            0.019266,           0.0022878,              0.9931,             0.99808,               0.995,             0.89904,           0.0084159,           0.0081776,           0.0010135,            0.005248,            0.005248,            0.005248
                  74,            0.015827,            0.018801,           0.0021091,             0.99177,             0.99479,               0.995,              0.8802,           0.0088836,           0.0085633,          0.00095911,            0.005182,            0.005182,            0.005182
                  75,            0.015801,             0.01852,           0.0027368,             0.99125,             0.99675,               0.995,             0.89278,           0.0093042,           0.0089375,           0.0012204,            0.005116,            0.005116,            0.005116
                  76,            0.015427,            0.019098,           0.0026838,             0.99361,             0.99944,               0.995,             0.89319,           0.0081808,           0.0082932,           0.0010633,             0.00505,             0.00505,             0.00505
                  77,            0.015321,            0.018839,           0.0023325,             0.99529,             0.99753,               0.995,             0.87926,            0.009002,           0.0086429,           0.0009686,            0.004984,            0.004984,            0.004984
                  78,            0.015433,            0.018353,           0.0026653,             0.99392,             0.99821,               0.995,             0.88075,           0.0090038,           0.0082979,          0.00098214,            0.004918,            0.004918,            0.004918
                  79,            0.014732,             0.01902,           0.0021495,             0.99523,             0.99952,               0.995,             0.89071,            0.008016,           0.0083554,          0.00096741,            0.004852,            0.004852,            0.004852
                  80,            0.014657,            0.019119,           0.0020179,             0.99191,             0.99867,               0.995,             0.88858,           0.0083058,           0.0081893,           0.0010714,            0.004786,            0.004786,            0.004786
                  81,            0.014962,             0.01951,           0.0022249,                0.99,                   1,               0.995,             0.87804,           0.0075823,           0.0080683,          0.00092201,             0.00472,             0.00472,             0.00472
                  82,             0.01471,            0.017855,           0.0023085,             0.99275,                   1,               0.995,             0.88121,           0.0091931,           0.0086443,          0.00091405,            0.004654,            0.004654,            0.004654
                  83,            0.014636,            0.018376,           0.0019336,             0.99095,             0.99812,               0.995,             0.88171,           0.0082098,            0.008173,          0.00084548,            0.004588,            0.004588,            0.004588
                  84,            0.014353,            0.018766,           0.0023205,             0.98084,             0.99395,               0.995,             0.89166,           0.0081652,           0.0079201,          0.00087838,            0.004522,            0.004522,            0.004522
                  85,            0.014595,            0.018514,           0.0023532,             0.98885,             0.99946,               0.995,              0.9012,           0.0079105,           0.0080284,          0.00091028,            0.004456,            0.004456,            0.004456
                  86,            0.014286,            0.018027,            0.002232,             0.99508,                   1,               0.995,             0.89059,            0.008066,           0.0081122,          0.00082254,             0.00439,             0.00439,             0.00439
                  87,            0.014344,            0.017797,           0.0023177,             0.99542,                   1,               0.995,             0.88796,           0.0086191,            0.008396,          0.00080771,            0.004324,            0.004324,            0.004324
                  88,             0.01414,            0.018308,           0.0022772,             0.99601,                   1,               0.995,             0.89478,            0.007916,           0.0080135,          0.00080485,            0.004258,            0.004258,            0.004258
                  89,            0.014431,            0.018149,           0.0026194,             0.99602,                   1,               0.995,             0.89398,           0.0080768,           0.0078633,           0.0008359,            0.004192,            0.004192,            0.004192
                  90,            0.014493,            0.018358,           0.0020466,             0.99531,             0.99647,               0.995,             0.89444,           0.0076741,           0.0077291,          0.00091717,            0.004126,            0.004126,            0.004126
                  91,            0.013732,            0.018017,           0.0018391,             0.99525,              0.9971,               0.995,             0.89672,           0.0083007,           0.0081422,          0.00082974,             0.00406,             0.00406,             0.00406
                  92,             0.01382,            0.017785,           0.0017693,             0.99449,             0.99679,               0.995,             0.88638,           0.0081124,           0.0084426,          0.00082793,            0.003994,            0.003994,            0.003994
                  93,            0.013755,            0.017062,           0.0015308,              0.9924,             0.99775,               0.995,             0.89654,           0.0080141,           0.0080163,           0.0008074,            0.003928,            0.003928,            0.003928
                  94,            0.013915,            0.017787,           0.0022394,             0.98705,             0.98984,             0.99437,             0.88843,           0.0081082,           0.0083971,           0.0015954,            0.003862,            0.003862,            0.003862
                  95,            0.013204,            0.018162,           0.0019309,             0.99457,             0.99743,               0.995,             0.88699,           0.0081502,           0.0080889,           0.0007977,            0.003796,            0.003796,            0.003796
                  96,            0.013494,            0.018082,           0.0016901,             0.99108,             0.99797,               0.995,             0.90089,           0.0079234,           0.0077076,          0.00072408,             0.00373,             0.00373,             0.00373
                  97,            0.013344,            0.016921,           0.0018481,             0.98866,              0.9943,               0.995,             0.89254,           0.0081584,           0.0080847,          0.00078213,            0.003664,            0.003664,            0.003664
                  98,            0.013214,            0.017803,            0.001705,              0.9886,             0.99765,               0.995,             0.88975,           0.0075833,           0.0080895,          0.00085645,            0.003598,            0.003598,            0.003598
